Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Polyester; Interliner: Kevlar;HR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 12:46:26
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;210;41;;;22.1;18.030;0.0698;3.4655;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 0; 0.0001
5; 0.0; 25; 0.0001
10; 0.0; 60; 0.0005
15; 11.6; 0; 0.0094
20; 101.2; 737; 0.0216
25; 194.2; 425; 0.0587
30; 210.2; 420; 0.0698
35; 178.5; 440; 0.0602
40; 139.2; 367; 0.0364
45; 109.9; 267; 0.0181
50; 91.5; 114; 0.0080
55; 80.4; 83; 0.0046
60; 73.1; 69; 0.0030
65; 68.6; 32; 0.0016
70; 65.3; 30; 0.0015
75; 62.5; 36; 0.0018
80; 59.5; 18; 0.0009
85; 57.8; 27; 0.0012
90; 56.6; 40; 0.0016
95; 52.9; 28; 0.0012
100; 48.6; 9; 0.0004
105; 45.6; 41; 0.0014
110; 44.5; 36; 0.0012
115; 44.4; 15; 0.0004
120; 47.1; 31; 0.0009
125; 51.8; 32; 0.0011
130; 59.1; 28; 0.0011
135; 67.0; 43; 0.0018
140; 73.6; 70; 0.0031
145; 79.0; 97; 0.0046
150; 81.2; 117; 0.0053
155; 82.9; 135; 0.0060
160; 82.1; 133; 0.0062
165; 79.6; 109; 0.0049
170; 77.0; 88; 0.0036
175; 73.9; 80; 0.0032
180; 70.2; 62; 0.0024
185; 69.3; 112; 0.0039
190; 66.9; 139; 0.0048
195; 64.3; 111; 0.0038
200; 62.6; 96; 0.0032
205; 61.8; 85; 0.0029
210; 61.5; 86; 0.0027
215; 62.1; 110; 0.0033
220; 62.9; 93; 0.0034
225; 65.0; 118; 0.0041
230; 67.2; 140; 0.0037
235; 69.5; 107; 0.0043
240; 72.9; 85; 0.0035
245; 76.5; 142; 0.0045
250; 80.2; 130; 0.0051
255; 85.3; 128; 0.0058
260; 89.7; 156; 0.0067
265; 94.2; 167; 0.0078
270; 96.8; 164; 0.0077
275; 100.2; 196; 0.0086
280; 103.3; 184; 0.0090
285; 106.4; 185; 0.0087
290; 107.7; 176; 0.0086
295; 110.7; 176; 0.0089
300; 111.8; 187; 0.0093
305; 111.0; 197; 0.0098
310; 111.9; 195; 0.0099
315; 112.4; 176; 0.0090
320; 112.2; 185; 0.0095
325; 110.7; 169; 0.0079
330; 110.1; 182; 0.0081
335; 109.4; 169; 0.0084
340; 108.5; 187; 0.0090
345; 107.8; 177; 0.0079
350; 105.7; 174; 0.0077
355; 104.3; 167; 0.0076
360; 101.9; 125; 0.0058
365; 98.9; 140; 0.0059
370; 96.8; 144; 0.0058
375; 94.7; 144; 0.0059
380; 91.3; 115; 0.0047
385; 88.6; 107; 0.0040
390; 86.2; 131; 0.0045
395; 83.7; 104; 0.0039
400; 80.7; 94; 0.0034
405; 78.6; 112; 0.0038
410; 76.3; 90; 0.0030
415; 73.8; 96; 0.0030
420; 70.7; 63; 0.0022
425; 68.8; 78; 0.0023
430; 66.6; 66; 0.0016
435; 63.8; 79; 0.0023
440; 61.0; 39; 0.0011
445; 59.1; 53; 0.0014
450; 56.9; 60; 0.0014
455; 55.1; 43; 0.0012
460; 53.3; 33; 0.0008
465; 51.2; 46; 0.0009
470; 49.0; 36; 0.0009
475; 47.1; 69; 0.0015
480; 45.2; 67; 0.0013
485; 43.3; 27; 0.0006
490; 41.5; 41; 0.0008
495; 39.7; 23; 0.0004
500; 37.8; 16; 0.0003
505; 35.4; 30; 0.0005
510; 33.4; 40; 0.0006
515; 31.0; 37; 0.0006
520; 28.9; 0; 0.0000
525; 27.2; 0; 0.0000
530; 24.5; 0; 0.0000
535; 22.3; 0; 0.0000
540; 20.2; 8; 0.0001
545; 17.8; 27; 0.0003
550; 15.4; 6; 0.0001
555; 13.5; 48; 0.0004
560; 11.4; 22; 0.0002
565; 9.6; 37; 0.0003
570; 7.9; 0; 0.0000
575; 5.6; 134; 0.0008
580; 2.9; 157; 0.0009
585; 1.5; 383; 0.0014
590; 0.3; 148; 0.0010
595; 0.3; 120; 0.0010
600; 0.3; 93; 0.0009
605; 0.0; 123; 0.0010
610; 0.1; 331; 0.0008
615; 0.0; 198; 0.0010
620; 0.0; 277; 0.0012
625; 0.1; 314; 0.0015
630; 0.0; 119; 0.0012
635; 0.0; 799; 0.0016
640; 0.0; 0; 0.0020
645; 0.0; 223; 0.0019
650; 0.0; 201; 0.0015
655; 0.0; 409; 0.0018
660; 0.0; 422; 0.0016
665; 0.0; 441; 0.0016
670; 0.0; 212; 0.0015
675; 0.0; 205; 0.0013
680; 0.2; 141; 0.0007
685; 0.0; 199; 0.0009
690; 0.1; 928; 0.0015
695; 0.0; 312; 0.0012
700; 0.0; 114; 0.0007
705; 0.0; 130; 0.0008
710; 0.0; 127; 0.0007
715; 0.0; 221; 0.0011
720; 0.0; 203; 0.0013
725; 0.0; 183; 0.0013
730; 0.0; 86; 0.0006
735; 0.0; 230; 0.0008
740; 0.0; 255; 0.0006
745; 0.0; 103; 0.0009
