Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Polyester; Interliner: Polyester Wadding;CMHR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 12:49:38
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;316;42;;;22.3;18.270;0.0662;8.399;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 5.2; 0; 0.0000
5; 3.0; 0; 0.0000
10; 6.4; 0; 0.0000
15; 50.5; 0; 0.0030
20; 94.3; 851; 0.0117
25; 120.8; 184; 0.0169
30; 146.2; 178; 0.0175
35; 192.5; 246; 0.0326
40; 231.5; 304; 0.0518
45; 224.2; 355; 0.0662
50; 202.6; 374; 0.0621
55; 183.0; 417; 0.0592
60; 167.0; 374; 0.0449
65; 167.9; 398; 0.0422
70; 173.5; 391; 0.0457
75; 181.6; 476; 0.0562
80; 190.3; 461; 0.0539
85; 194.7; 452; 0.0543
90; 204.9; 447; 0.0542
95; 222.3; 457; 0.0594
100; 222.1; 461; 0.0602
105; 237.1; 351; 0.0473
110; 252.3; 369; 0.0473
115; 276.4; 409; 0.0502
120; 284.2; 379; 0.0518
125; 297.2; 312; 0.0452
130; 310.1; 312; 0.0450
135; 312.4; 313; 0.0442
140; 315.8; 334; 0.0474
145; 312.2; 312; 0.0438
150; 305.2; 308; 0.0434
155; 294.8; 331; 0.0467
160; 279.1; 360; 0.0467
165; 269.3; 372; 0.0455
170; 244.6; 426; 0.0502
175; 228.9; 431; 0.0472
180; 205.4; 455; 0.0471
185; 183.9; 451; 0.0425
190; 158.9; 479; 0.0359
195; 131.4; 438; 0.0265
200; 99.1; 419; 0.0196
205; 72.6; 397; 0.0098
210; 46.2; 355; 0.0036
215; 26.2; 0; 0.0000
220; 12.3; 0; 0.0000
225; 4.9; 0; 0.0000
230; 1.6; 0; 0.0000
235; 0.9; 0; 0.0000
240; 0.1; 0; 0.0000
245; 0.0; 0; 0.0000
250; 0.0; 0; 0.0000
255; 0.0; 0; 0.0000
260; 0.0; 0; 0.0000
265; 0.0; 0; 0.0000
270; 0.0; 0; 0.0000
275; 0.0; 0; 0.0000
280; 0.0; 0; 0.0000
285; 0.0; 0; 0.0000
290; 0.0; 0; 0.0000
295; 0.0; 0; 0.0000
300; 0.0; 0; 0.0000
305; 0.0; 0; 0.0000
310; 0.0; 0; 0.0000
315; 0.0; 0; 0.0000
320; 0.0; 0; 0.0000
325; 0.0; 0; 0.0000
330; 0.0; 0; 0.0000
335; 0.0; 0; 0.0000
340; 0.0; 0; 0.0000
345; 0.0; 0; 0.0000
350; 0.0; 0; 0.0000
355; 0.0; 0; 0.0000
360; 0.0; 98; 0.0001
365; 0.0; 0; 0.0003
370; 0.0; 0; 0.0000
375; 0.0; 0; 0.0003
380; 0.0; 0; 0.0000
385; 0.0; 0; 0.0002
390; 0.0; 0; 0.0000
