Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Polyester; ;HR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 12:51:41
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;391;49;;;23.8;19.990;0.0649;8.426;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 0; 0.0000
5; 0.0; 0; 0.0000
10; 23.0; 0; 0.0037
15; 78.1; 1072; 0.0206
20; 132.1; 368; 0.0344
25; 185.9; 372; 0.0479
30; 218.0; 371; 0.0592
35; 238.1; 358; 0.0613
40; 241.2; 336; 0.0591
45; 228.2; 356; 0.0554
50; 198.3; 357; 0.0441
55; 204.1; 315; 0.0353
60; 234.5; 443; 0.0588
65; 250.8; 419; 0.0649
70; 268.9; 429; 0.0639
75; 286.0; 416; 0.0626
80; 301.4; 382; 0.0602
85; 328.4; 380; 0.0595
90; 353.7; 339; 0.0572
95; 371.3; 302; 0.0522
100; 384.4; 308; 0.0526
105; 391.4; 294; 0.0491
110; 379.6; 263; 0.0445
115; 377.4; 301; 0.0501
120; 374.1; 271; 0.0444
125; 371.9; 286; 0.0462
130; 372.4; 303; 0.0464
135; 356.8; 277; 0.0436
140; 348.0; 331; 0.0503
145; 330.1; 368; 0.0547
150; 314.2; 374; 0.0548
155; 282.1; 412; 0.0557
160; 239.2; 468; 0.0542
165; 193.7; 539; 0.0461
170; 153.6; 435; 0.0263
175; 129.6; 387; 0.0189
180; 110.8; 387; 0.0172
185; 90.4; 312; 0.0094
190; 74.7; 360; 0.0073
195; 58.9; 413; 0.0089
200; 37.6; 363; 0.0034
205; 22.4; 0; 0.0000
210; 13.1; 0; 0.0000
215; 8.1; 0; 0.0000
220; 5.4; 0; 0.0000
225; 4.2; 0; 0.0000
230; 3.8; 0; 0.0000
235; 3.5; 0; 0.0000
240; 3.2; 0; 0.0000
245; 3.1; 0; 0.0000
250; 2.8; 0; 0.0000
255; 2.8; 0; 0.0000
260; 2.9; 0; 0.0000
265; 2.7; 0; 0.0000
270; 2.7; 0; 0.0000
275; 3.0; 0; 0.0000
280; 2.9; 0; 0.0000
285; 3.3; 0; 0.0000
290; 3.3; 0; 0.0000
295; 3.3; 0; 0.0000
300; 3.7; 0; 0.0000
305; 3.8; 0; 0.0000
310; 3.5; 0; 0.0000
315; 3.9; 0; 0.0000
320; 4.0; 0; 0.0000
325; 3.8; 0; 0.0000
330; 4.1; 0; 0.0000
335; 4.4; 0; 0.0000
340; 5.1; 0; 0.0000
345; 5.3; 0; 0.0000
350; 5.3; 0; 0.0000
355; 5.5; 0; 0.0000
360; 5.8; 0; 0.0000
365; 5.9; 4; 0.0000
370; 5.7; 0; 0.0000
375; 6.1; 0; 0.0000
380; 6.1; 0; 0.0000
385; 6.2; 75; 0.0004
390; 6.4; 21; 0.0001
395; 6.7; 53; 0.0003
400; 6.9; 0; 0.0000
405; 7.0; 0; 0.0000
410; 7.1; 0; 0.0000
415; 6.7; 0; 0.0000
420; 6.7; 0; 0.0000
