Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Polyester FR Treate; Interliner: Kevlar;HR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 12:56:11
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;137;37;;;19.7;18.65;0.0629;3.0255;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 1.4; 0; 0.0000
5; 1.6; 0; 0.0000
10; 0.0; 16; 0.0002
15; 10.2; 0; 0.0100
20; 66.8; 1300; 0.0145
25; 108.8; 548; 0.0427
30; 132.2; 571; 0.0629
35; 136.9; 542; 0.0617
40; 128.7; 444; 0.0437
45; 116.5; 403; 0.0328
50; 102.0; 317; 0.0215
55; 84.6; 164; 0.0094
60; 70.0; 43; 0.0020
65; 61.9; 30; 0.0013
70; 57.2; 11; 0.0005
75; 55.0; 8; 0.0004
80; 54.0; 9; 0.0004
85; 54.7; 24; 0.0011
90; 58.0; 16; 0.0007
95; 59.0; 47; 0.0020
100; 59.1; 16; 0.0007
105; 58.7; 30; 0.0013
110; 60.5; 38; 0.0016
115; 64.4; 74; 0.0029
120; 67.9; 100; 0.0044
125; 71.1; 90; 0.0042
130; 76.4; 77; 0.0035
135; 83.7; 107; 0.0052
140; 90.3; 143; 0.0075
145; 94.9; 176; 0.0092
150; 96.3; 196; 0.0102
155; 95.1; 205; 0.0107
160; 92.9; 199; 0.0098
165; 90.1; 188; 0.0086
170; 85.6; 160; 0.0066
175; 82.8; 158; 0.0063
180; 80.4; 117; 0.0050
185; 78.7; 101; 0.0040
190; 77.4; 98; 0.0034
195; 76.8; 73; 0.0026
200; 76.9; 94; 0.0037
205; 77.5; 101; 0.0037
210; 78.6; 88; 0.0032
215; 80.2; 104; 0.0039
220; 81.9; 109; 0.0041
225; 83.2; 134; 0.0052
230; 85.8; 131; 0.0054
235; 87.2; 133; 0.0057
240; 88.8; 145; 0.0058
245; 90.9; 157; 0.0064
250; 93.0; 153; 0.0066
255; 93.8; 184; 0.0075
260; 94.6; 139; 0.0067
265; 96.5; 158; 0.0071
270; 97.8; 199; 0.0076
275; 98.4; 205; 0.0088
280; 99.3; 175; 0.0081
285; 99.8; 186; 0.0083
290; 100.1; 179; 0.0081
295; 99.0; 202; 0.0086
300; 97.5; 199; 0.0076
305; 95.9; 177; 0.0073
310; 94.9; 177; 0.0073
315; 93.8; 168; 0.0068
320; 92.2; 151; 0.0059
325; 91.5; 147; 0.0057
330; 89.2; 123; 0.0047
335; 87.8; 127; 0.0047
340; 85.9; 107; 0.0038
345; 84.1; 94; 0.0035
350; 81.1; 72; 0.0025
355; 78.6; 45; 0.0015
360; 76.1; 40; 0.0014
365; 73.9; 16; 0.0005
370; 72.1; 20; 0.0006
375; 69.9; 15; 0.0004
380; 67.0; 0; 0.0000
385; 65.1; 0; 0.0000
390; 62.2; 0; 0.0000
395; 60.0; 0; 0.0000
400; 57.5; 0; 0.0000
405; 55.3; 0; 0.0000
410; 53.1; 0; 0.0000
415; 51.5; 0; 0.0000
420; 49.5; 0; 0.0000
425; 48.0; 0; 0.0000
430; 45.7; 0; 0.0000
435; 44.3; 0; 0.0000
440; 43.0; 0; 0.0000
445; 40.8; 0; 0.0000
450; 39.1; 0; 0.0000
455; 37.6; 0; 0.0000
460; 36.0; 8; 0.0001
465; 34.1; 0; 0.0000
470; 32.7; 0; 0.0000
475; 30.8; 0; 0.0000
480; 29.5; 5; 0.0000
485; 27.9; 4; 0.0000
490; 26.6; 3; 0.0000
495; 25.4; 0; 0.0000
500; 24.3; 0; 0.0000
505; 22.9; 0; 0.0000
510; 21.6; 0; 0.0000
515; 20.0; 0; 0.0000
520; 18.7; 0; 0.0000
525; 17.2; 0; 0.0000
530; 16.8; 0; 0.0000
535; 15.2; 0; 0.0000
540; 14.2; 0; 0.0000
545; 12.9; 0; 0.0000
550; 9.2; 0; 0.0000
555; 6.0; 0; 0.0000
560; 4.7; 0; 0.0000
565; 4.4; 0; 0.0000
570; 4.1; 0; 0.0000
575; 3.9; 0; 0.0000
580; 3.9; 0; 0.0000
585; 3.7; 0; 0.0000
590; 3.6; 0; 0.0000
595; 3.5; 0; 0.0000
600; 3.7; 0; 0.0000
605; 3.5; 0; 0.0000
610; 3.4; 0; 0.0000
615; 3.5; 0; 0.0000
620; 3.3; 0; 0.0000
625; 3.1; 0; 0.0000
630; 3.2; 0; 0.0000
635; 3.0; 0; 0.0000
640; 3.4; 0; 0.0000
645; 3.8; 0; 0.0000
650; 3.3; 0; 0.0000
655; 3.5; 0; 0.0000
660; 3.5; 99; 0.0003
665; 3.5; 0; 0.0000
670; 3.6; 46; 0.0002
675; 3.3; 20; 0.0001
680; 3.2; 36; 0.0002
685; 2.8; 0; 0.0000
