Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Polyester FR Treate; Interliner: Polyester Wadding;CMHR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 13:40:04
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;317;35;;;17.6;18.950;0.0902;9.065;;;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SPR (m2/s)
0; 2.0; 0.000; 0.0001
5; 0.3; 0.006; 0.0001
10; 0.0; 0.006; 0.0000
15; 0.0; 0.018; 0.0126
20; 0.0; 0.034; 0.0243
25; 0.0; 0.027; 0.0240
30; 0.0; 0.025; 0.0224
35; 0.0; 0.037; 0.0184
40; 0.0; 0.019; 0.0152
45; 0.0; 0.008; 0.0128
50; 0.0; 0.030; 0.0157
55; 0.0; 0.030; 0.0183
60; 0.0; 0.035; 0.0203
65; 0.0; 0.051; 0.0274
70; 0.0; 0.043; 0.0326
75; 0.0; 0.040; 0.0384
80; 4.9; 0.018; 0.0411
85; 134.4; 0.075; 0.0428
90; 195.6; 0.184; 0.0897
95; 201.8; 0.181; 0.0902
100; 185.6; 0.147; 0.0802
105; 164.4; 0.137; 0.0614
110; 151.4; 0.117; 0.0505
115; 143.6; 0.098; 0.0444
120; 137.4; 0.096; 0.0420
125; 126.2; 0.089; 0.0365
130; 119.2; 0.083; 0.0337
135; 119.0; 0.081; 0.0318
140; 123.9; 0.081; 0.0293
145; 132.9; 0.074; 0.0328
150; 148.0; 0.073; 0.0327
155; 166.8; 0.087; 0.0354
160; 196.0; 0.104; 0.0394
165; 225.3; 0.108; 0.0396
170; 256.7; 0.111; 0.0379
175; 285.1; 0.127; 0.0373
180; 299.5; 0.135; 0.0396
185; 314.0; 0.138; 0.0402
190; 317.3; 0.134; 0.0412
195; 311.2; 0.135; 0.0429
200; 303.5; 0.134; 0.0405
205; 282.2; 0.128; 0.0425
210; 263.7; 0.119; 0.0387
215; 245.9; 0.105; 0.0417
220; 225.8; 0.100; 0.0420
225; 205.0; 0.097; 0.0398
230; 177.6; 0.085; 0.0471
235; 155.5; 0.068; 0.0353
240; 131.8; 0.064; 0.0338
245; 116.3; 0.057; 0.0275
250; 100.1; 0.044; 0.0214
255; 83.1; 0.036; 0.0130
260; 66.6; 0.025; 0.0070
265; 46.7; 0.017; 0.0063
270; 25.1; 0.004; 0.0012
275; 9.4; 0.000; 0.0000
280; 2.7; 0.000; 0.0000
285; 0.0; 0.005; 0.0000
290; 0.0; 0.002; 0.0000
295; 0.0; 0.000; 0.0000
300; 0.0; 0.001; 0.0000
305; 0.0; 0.002; 0.0000
310; 0.0; 0.000; 0.0000
315; 0.0; 0.000; 0.0000
320; 0.0; 0.005; 0.0000
325; 0.0; 0.000; 0.0000
330; 0.0; 0.000; 0.0000
335; 0.0; 0.001; 0.0000
340; 0.0; 0.001; 0.0000
345; 0.0; 0.004; 0.0000
350; 0.0; 0.001; 0.0000
355; 0.0; 0.000; 0.0000
360; 0.0; 0.001; 0.0000
365; 0.0; 0.000; 0.0000
370; 0.0; 0.000; 0.0000
375; 0.0; 0.000; 0.0000
380; 0.0; 0.000; 0.0000
385; 0.0; 0.000; 0.0000
390; 0.0; 0.000; 0.0000
