Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Polyester FR Treate; ;HR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 13:42:46
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;450;48;;;23.1;20.420;0.0863;9.342;;;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SPR (m2/s)
0; 5.7; 0.004; 0.0000
5; 13.9; 0.000; 0.0000
10; 63.0; 0.013; 0.0144
15; 104.9; 0.053; 0.0301
20; 137.4; 0.094; 0.0393
25; 176.0; 0.129; 0.0520
30; 213.4; 0.166; 0.0732
35; 244.8; 0.183; 0.0863
40; 239.4; 0.175; 0.0811
45; 225.3; 0.154; 0.0699
50; 222.7; 0.147; 0.0646
55; 223.6; 0.142; 0.0596
60; 220.3; 0.124; 0.0633
65; 233.4; 0.118; 0.0535
70; 263.1; 0.134; 0.0611
75; 299.4; 0.151; 0.0609
80; 338.4; 0.169; 0.0645
85; 380.5; 0.174; 0.0617
90; 418.9; 0.175; 0.0628
95; 439.2; 0.184; 0.0587
100; 447.4; 0.186; 0.0543
105; 450.4; 0.193; 0.0563
110; 443.3; 0.192; 0.0542
115; 428.7; 0.179; 0.0586
120; 416.2; 0.175; 0.0571
125; 391.5; 0.170; 0.0603
130; 366.7; 0.155; 0.0584
135; 347.1; 0.154; 0.0649
140; 307.2; 0.148; 0.0631
145; 274.6; 0.127; 0.0631
150; 247.3; 0.115; 0.0686
155; 223.8; 0.102; 0.0586
160; 192.4; 0.087; 0.0508
165; 140.4; 0.058; 0.0307
170; 90.0; 0.020; 0.0096
175; 53.4; 0.004; 0.0017
180; 29.9; 0.000; 0.0000
185; 16.7; 0.000; 0.0000
190; 9.6; 0.000; 0.0000
195; 6.1; 0.000; 0.0000
200; 4.9; 0.001; 0.0000
205; 3.7; 0.000; 0.0000
210; 2.8; 0.001; 0.0000
215; 2.6; 0.000; 0.0000
220; 2.5; 0.000; 0.0000
225; 2.7; 0.006; 0.0000
230; 2.9; 0.003; 0.0000
235; 2.8; 0.000; 0.0000
240; 3.0; 0.001; 0.0000
245; 3.4; 0.001; 0.0000
250; 3.5; 0.000; 0.0000
255; 3.6; 0.006; 0.0000
260; 3.6; 0.004; 0.0000
265; 3.5; 0.000; 0.0000
270; 3.6; 0.001; 0.0000
275; 4.0; 0.001; 0.0000
280; 4.3; 0.004; 0.0000
285; 4.2; 0.004; 0.0000
290; 4.1; 0.001; 0.0000
295; 4.7; 0.003; 0.0000
300; 4.7; 0.001; 0.0000
305; 5.2; 0.002; 0.0000
310; 5.6; 0.007; 0.0000
315; 5.6; 0.007; 0.0000
320; 5.9; 0.002; 0.0000
325; 6.2; 0.001; 0.0000
330; 6.5; 0.007; 0.0000
335; 6.8; 0.004; 0.0000
340; 7.0; 0.003; 0.0000
345; 7.2; 0.005; 0.0002
350; 6.9; 0.005; 0.0000
355; 7.2; 0.003; 0.0002
360; 6.6; 0.003; 0.0000
365; 7.0; 0.004; 0.0000
370; 7.2; 0.003; 0.0000
375; 7.3; 0.005; 0.0000
380; 7.2; 0.007; 0.0000
385; 7.5; 0.007; 0.0003
390; 7.2; 0.003; 0.0004
395; 7.6; 0.007; 0.0000
400; 7.7; 0.007; 0.0000
