Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Polyester FR Treate; ;Polyether Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 13:43:50
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;382;40;;;18.5;21.010;0.954;8.084;;;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SPR (m2/s)
0; 5.3; 0.070; 0.0000
5; 35.6; 0.000; 0.0000
10; 111.0; 0.025; 0.0318
15; 163.4; 0.090; 0.0516
20; 206.9; 0.123; 0.0632
25; 247.4; 0.161; 0.0861
30; 260.2; 0.170; 0.0954
35; 256.1; 0.158; 0.0835
40; 244.3; 0.151; 0.0853
45; 240.7; 0.144; 0.0681
50; 254.3; 0.136; 0.0625
55; 268.9; 0.139; 0.0530
60; 293.3; 0.137; 0.0450
65; 328.9; 0.145; 0.0407
70; 354.9; 0.158; 0.0387
75; 373.5; 0.158; 0.0384
80; 381.8; 0.153; 0.0378
85; 372.4; 0.155; 0.0402
90; 361.3; 0.153; 0.0444
95; 343.8; 0.145; 0.0488
100; 326.7; 0.148; 0.0551
105; 305.9; 0.138; 0.0556
110; 296.7; 0.133; 0.0562
115; 280.7; 0.129; 0.0622
120; 266.8; 0.123; 0.0568
125; 280.8; 0.136; 0.0668
130; 295.5; 0.148; 0.0779
135; 272.9; 0.132; 0.0738
140; 217.4; 0.091; 0.0593
145; 145.4; 0.053; 0.0302
150; 78.4; 0.017; 0.0084
155; 38.5; 0.000; 0.0000
160; 18.0; 0.000; 0.0000
165; 8.9; 0.000; 0.0000
170; 4.2; 0.000; 0.0000
175; 1.4; 0.001; 0.0000
180; 0.0; 0.000; 0.0000
185; 0.0; 0.000; 0.0000
190; 0.0; 0.008; 0.0000
195; 0.0; 0.000; 0.0000
200; 0.0; 0.000; 0.0000
205; 0.0; 0.001; 0.0000
210; 0.0; 0.002; 0.0000
215; 0.0; 0.000; 0.0000
220; 0.0; 0.000; 0.0000
225; 0.0; 0.000; 0.0000
230; 0.0; 0.002; 0.0000
235; 0.0; 0.002; 0.0000
240; 0.0; 0.000; 0.0000
245; 0.0; 0.001; 0.0000
250; 0.0; 0.000; 0.0000
255; 0.0; 0.004; 0.0000
260; 0.0; 0.000; 0.0000
265; 0.0; 0.000; 0.0000
270; 0.0; 0.004; 0.0000
275; 0.0; 0.001; 0.0000
280; 0.0; 0.002; 0.0000
285; 0.0; 0.000; 0.0000
290; 0.0; 0.002; 0.0000
295; 0.0; 0.000; 0.0000
300; 0.0; 0.000; 0.0000
305; 0.0; 0.000; 0.0000
310; 0.0; 0.000; 0.0000
315; 0.0; 0.000; 0.0000
320; 0.0; 0.001; 0.0000
325; 0.0; 0.000; 0.0000
330; 0.0; 0.000; 0.0000
335; 0.0; 0.004; 0.0000
