Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Acrylic Pile- FR Treated Backcoated- Cellulosic Ground; Interliner: Polyester Wadding/Kevlar;CMHR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 13:45:12
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;356;37;;;24.9;14.660;0.1157;5.031;;;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SPR (m2/s)
0; 2.6; 0.000; 0.0006
5; 0.0; 0.008; 0.0006
10; 0.0; 0.012; 0.0000
15; 49.6; 0.000; 0.0070
20; 307.5; 0.091; 0.0215
25; 355.8; 0.240; 0.0890
30; 252.8; 0.210; 0.1157
35; 188.7; 0.142; 0.0870
40; 166.2; 0.122; 0.0706
45; 173.8; 0.130; 0.0689
50; 186.8; 0.146; 0.0710
55; 186.5; 0.149; 0.0788
60; 173.9; 0.138; 0.0702
65; 157.5; 0.120; 0.0581
70; 136.5; 0.104; 0.0441
75; 117.7; 0.089; 0.0307
80; 103.3; 0.076; 0.0206
85; 90.7; 0.068; 0.0161
90; 81.4; 0.058; 0.0125
95; 73.5; 0.054; 0.0105
100; 65.8; 0.054; 0.0072
105; 59.2; 0.051; 0.0076
110; 56.2; 0.046; 0.0053
115; 51.6; 0.048; 0.0049
120; 46.1; 0.042; 0.0040
125; 43.2; 0.034; 0.0041
130; 41.6; 0.039; 0.0078
135; 40.4; 0.039; 0.0048
140; 41.1; 0.041; 0.0047
145; 42.4; 0.038; 0.0032
150; 44.6; 0.036; 0.0028
155; 48.1; 0.039; 0.0020
160; 53.0; 0.039; 0.0026
165; 58.2; 0.041; 0.0008
170; 63.5; 0.044; 0.0014
175; 68.9; 0.045; 0.0023
180; 74.0; 0.047; 0.0027
185; 78.9; 0.050; 0.0031
190; 83.0; 0.053; 0.0035
195; 86.9; 0.050; 0.0035
200; 89.6; 0.051; 0.0034
205; 93.6; 0.050; 0.0038
210; 96.1; 0.051; 0.0039
215; 98.2; 0.050; 0.0037
220; 98.6; 0.050; 0.0033
225; 99.7; 0.053; 0.0032
230; 99.7; 0.051; 0.0034
235; 98.6; 0.051; 0.0035
240; 98.3; 0.049; 0.0022
245; 97.4; 0.047; 0.0028
