Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Acrylic Pile- FR Treated Backcoated- Cellulosic Ground; Interliner: Polyester Wadding;CMHR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 13:48:48
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;336;45;;;25.9;16.86;0.1239;7.498;;;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SPR (m2/s)
0; 5.5; 0.000; 0.0007
5; 4.0; 0.012; 0.0007
10; 0.0; 0.010; 0.0011
15; 2.4; 0.007; 0.0086
20; 159.1; 0.024; 0.0197
25; 336.3; 0.166; 0.0474
30; 296.7; 0.257; 0.1239
35; 239.9; 0.201; 0.1230
40; 194.1; 0.159; 0.0960
45; 162.4; 0.130; 0.0798
50; 146.0; 0.117; 0.0530
55; 140.0; 0.108; 0.0477
60; 137.5; 0.109; 0.0423
65; 133.9; 0.109; 0.0406
70; 131.5; 0.103; 0.0358
75; 128.1; 0.095; 0.0355
80; 123.0; 0.093; 0.0319
85; 118.0; 0.092; 0.0302
90; 111.9; 0.084; 0.0244
95; 106.1; 0.077; 0.0231
100; 100.8; 0.072; 0.0196
105; 96.4; 0.071; 0.0177
110; 90.0; 0.072; 0.0188
115; 84.7; 0.064; 0.0148
120; 79.5; 0.056; 0.0141
125; 74.4; 0.056; 0.0137
130; 69.7; 0.052; 0.0107
135; 65.5; 0.046; 0.0104
140; 62.5; 0.042; 0.0090
145; 61.3; 0.044; 0.0085
150; 62.2; 0.045; 0.0089
155; 61.9; 0.041; 0.0071
160; 62.0; 0.042; 0.0083
165; 62.3; 0.041; 0.0084
170; 62.8; 0.040; 0.0090
175; 64.3; 0.042; 0.0090
180; 65.9; 0.041; 0.0090
185; 71.0; 0.039; 0.0071
190; 77.6; 0.044; 0.0088
195; 85.8; 0.051; 0.0101
200; 95.0; 0.049; 0.0124
205; 103.9; 0.056; 0.0152
210; 112.4; 0.056; 0.0178
215; 121.8; 0.056; 0.0223
220; 126.4; 0.064; 0.0236
225; 128.1; 0.065; 0.0246
230; 123.4; 0.063; 0.0241
235; 116.4; 0.056; 0.0222
240; 110.4; 0.054; 0.0190
245; 106.4; 0.052; 0.0157
250; 103.4; 0.047; 0.0144
255; 101.0; 0.047; 0.0137
260; 98.8; 0.049; 0.0129
265; 97.2; 0.045; 0.0102
270; 95.8; 0.043; 0.0106
275; 94.6; 0.043; 0.0099
280; 94.4; 0.043; 0.0092
285; 94.2; 0.043; 0.0098
290; 93.9; 0.043; 0.0090
295; 93.1; 0.042; 0.0074
300; 92.8; 0.040; 0.0085
305; 91.4; 0.041; 0.0081
310; 89.9; 0.042; 0.0070
315; 88.2; 0.038; 0.0067
320; 87.3; 0.037; 0.0054
325; 86.2; 0.040; 0.0057
330; 84.9; 0.039; 0.0055
335; 82.1; 0.035; 0.0049
340; 79.1; 0.035; 0.0046
345; 76.7; 0.033; 0.0040
350; 74.6; 0.032; 0.0028
355; 73.0; 0.035; 0.0026
360; 70.8; 0.030; 0.0029
365; 68.5; 0.026; 0.0030
370; 66.5; 0.029; 0.0024
375; 64.4; 0.027; 0.0024
380; 62.3; 0.025; 0.0026
385; 60.8; 0.030; 0.0021
390; 59.3; 0.026; 0.0028
395; 57.2; 0.022; 0.0021
400; 55.6; 0.024; 0.0019
405; 53.6; 0.022; 0.0015
410; 52.3; 0.021; 0.0018
415; 49.3; 0.021; 0.0019
420; 47.8; 0.021; 0.0010
425; 46.6; 0.022; 0.0012
430; 45.0; 0.021; 0.0011
435; 44.0; 0.018; 0.0010
440; 43.2; 0.017; 0.0013
445; 40.8; 0.019; 0.0012
450; 38.9; 0.016; 0.0009
455; 36.8; 0.016; 0.0000
460; 35.5; 0.017; 0.0003
465; 34.1; 0.015; 0.0007
470; 32.4; 0.015; 0.0003
475; 31.8; 0.015; 0.0002
480; 30.2; 0.014; 0.0000
