Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Acrylic Pile- FR Treated Backcoated- Cellulosic Ground; ;HR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 13:49:53
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;405;49;;;28.4;16.980;0.104;8.2105;;;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SPR (m2/s)
0; 0.0; 0.000; 0.0000
5; 0.0; 0.008; 0.0000
10; 0.0; 0.008; 0.0000
15; 12.4; 0.000; 0.0057
20; 268.3; 0.066; 0.0181
25; 405.2; 0.241; 0.0734
30; 344.4; 0.273; 0.1040
35; 232.0; 0.169; 0.0947
40; 167.7; 0.122; 0.0658
45; 141.9; 0.101; 0.0430
50; 134.7; 0.094; 0.0369
55; 132.3; 0.097; 0.0342
60; 130.1; 0.097; 0.0321
65; 128.3; 0.091; 0.0298
70; 122.9; 0.089; 0.0294
75; 116.4; 0.086; 0.0269
80; 109.9; 0.082; 0.0262
85; 103.8; 0.081; 0.0241
90; 97.2; 0.076; 0.0237
95; 88.1; 0.082; 0.0181
100; 81.0; 0.068; 0.0162
105; 77.2; 0.058; 0.0158
110; 74.7; 0.066; 0.0145
115; 77.1; 0.060; 0.0147
120; 81.4; 0.059; 0.0159
125; 87.6; 0.068; 0.0182
130; 97.2; 0.068; 0.0192
135; 109.8; 0.074; 0.0240
140; 122.2; 0.082; 0.0277
145; 132.0; 0.078; 0.0335
150; 138.0; 0.082; 0.0366
155; 143.1; 0.084; 0.0368
160; 146.1; 0.083; 0.0363
165; 148.5; 0.079; 0.0347
170; 147.2; 0.074; 0.0336
175; 144.6; 0.077; 0.0302
180; 142.8; 0.077; 0.0278
185; 141.7; 0.070; 0.0263
