Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Acrylic Pile- FR Treated Backcoated- Cellulosic Ground; ;Polyether Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 13:51:48
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;407;45;;;23.8;18.380;0.1268;7.1075;;;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SPR (m2/s)
0; 3.1; 0.000; 0.0002
5; 2.4; 0.009; 0.0002
10; 0.0; 0.010; 0.0006
15; 19.8; 0.000; 0.0066
20; 268.2; 0.075; 0.0166
25; 407.0; 0.258; 0.0813
30; 333.9; 0.268; 0.1268
35; 219.7; 0.159; 0.0989
40; 167.7; 0.112; 0.0701
45; 147.4; 0.095; 0.0500
50; 137.8; 0.094; 0.0427
55; 134.3; 0.105; 0.0387
60; 136.5; 0.091; 0.0355
65; 137.2; 0.077; 0.0362
70; 134.6; 0.087; 0.0370
75; 130.9; 0.090; 0.0357
80; 126.7; 0.086; 0.0335
85; 122.1; 0.085; 0.0298
90; 113.4; 0.073; 0.0273
95; 102.7; 0.068; 0.0246
100; 93.7; 0.070; 0.0225
105; 89.5; 0.062; 0.0234
110; 88.6; 0.062; 0.0228
115; 88.4; 0.060; 0.0236
120; 94.4; 0.061; 0.0225
125; 102.3; 0.070; 0.0242
130; 109.5; 0.071; 0.0247
135; 113.5; 0.071; 0.0278
140; 115.1; 0.070; 0.0261
145; 116.2; 0.070; 0.0265
150; 118.2; 0.070; 0.0252
155; 120.1; 0.067; 0.0227
160; 122.9; 0.065; 0.0242
165; 125.4; 0.061; 0.0220
170; 129.3; 0.062; 0.0212
175; 131.5; 0.067; 0.0188
180; 133.6; 0.062; 0.0176
185; 134.1; 0.061; 0.0180
190; 133.9; 0.060; 0.0164
195; 133.0; 0.056; 0.0155
200; 131.5; 0.061; 0.0135
205; 129.6; 0.059; 0.0124
210; 127.6; 0.053; 0.0122
215; 126.5; 0.054; 0.0113
220; 123.5; 0.052; 0.0110
225; 121.4; 0.051; 0.0104
230; 118.5; 0.050; 0.0091
235; 114.7; 0.047; 0.0077
240; 111.8; 0.047; 0.0071
245; 109.0; 0.051; 0.0067
250; 106.1; 0.044; 0.0053
255; 103.4; 0.034; 0.0054
260; 100.3; 0.039; 0.0054
265; 97.9; 0.041; 0.0037
270; 94.1; 0.037; 0.0033
275; 90.7; 0.036; 0.0034
280; 87.2; 0.040; 0.0030
285; 85.3; 0.034; 0.0021
290; 83.1; 0.027; 0.0029
295; 80.3; 0.033; 0.0024
300; 76.6; 0.032; 0.0033
305; 73.9; 0.029; 0.0026
310; 71.9; 0.030; 0.0022
315; 69.8; 0.029; 0.0020
320; 67.8; 0.027; 0.0009
325; 65.5; 0.026; 0.0007
330; 62.6; 0.026; 0.0013
335; 60.8; 0.024; 0.0006
340; 58.1; 0.023; 0.0011
345; 56.7; 0.024; 0.0001
350; 53.8; 0.023; 0.0009
355; 51.1; 0.021; 0.0001
360; 48.5; 0.021; 0.0000
365; 45.2; 0.019; 0.0000
370; 42.2; 0.016; 0.0000
375; 40.0; 0.016; 0.0000
380; 37.4; 0.017; 0.0002
385; 36.1; 0.015; 0.0000
