Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Wool ; Interliner: Kevlar;HR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 14:39:15
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;293;49;;;25.70;18.530;0.0395;2.5255;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 3.0; 0; 0.0000
5; 0.0; 0; 0.0000
10; 0.0; 17; 0.0005
15; 63.9; 215; 0.0020
20; 230.3; 17; 0.0016
25; 269.0; 68; 0.0117
30; 270.4; 192; 0.0277
35; 293.2; 261; 0.0395
40; 217.7; 274; 0.0374
45; 142.3; 184; 0.0145
50; 100.7; 44; 0.0023
55; 76.1; 0; 0.0000
60; 58.9; 0; 0.0000
65; 45.5; 0; 0.0000
70; 32.5; 0; 0.0000
75; 22.5; 40; 0.0012
80; 16.5; 101; 0.0025
85; 10.6; 188; 0.0046
90; 8.6; 197; 0.0050
95; 8.2; 182; 0.0052
100; 7.7; 191; 0.0045
105; 9.8; 167; 0.0035
110; 11.9; 92; 0.0024
115; 15.1; 90; 0.0026
120; 17.1; 39; 0.0012
125; 19.2; 28; 0.0009
130; 21.3; 23; 0.0007
135; 22.6; 28; 0.0009
140; 28.4; 26; 0.0008
145; 30.6; 13; 0.0005
150; 36.2; 0; 0.0000
155; 39.3; 0; 0.0000
160; 43.9; 0; 0.0000
165; 47.4; 0; 0.0000
170; 52.8; 0; 0.0000
175; 57.6; 0; 0.0000
180; 64.5; 0; 0.0000
185; 73.2; 0; 0.0000
190; 80.1; 0; 0.0000
195; 85.7; 11; 0.0005
200; 92.4; 42; 0.0024
205; 97.3; 69; 0.0038
210; 101.8; 75; 0.0045
215; 107.4; 87; 0.0052
220; 110.8; 130; 0.0071
225; 116.1; 109; 0.0065
230; 119.6; 140; 0.0089
235; 118.9; 151; 0.0093
240; 120.1; 158; 0.0087
245; 117.6; 188; 0.0101
250; 116.6; 147; 0.0085
255; 116.6; 146; 0.0084
260; 113.2; 160; 0.0084
265; 113.1; 152; 0.0079
270; 109.9; 139; 0.0070
275; 109.1; 108; 0.0057
280; 109.2; 126; 0.0065
285; 107.9; 128; 0.0061
290; 106.5; 131; 0.0061
295; 103.9; 113; 0.0054
300; 104.2; 118; 0.0057
305; 103.0; 95; 0.0050
310; 103.6; 104; 0.0049
315; 103.5; 128; 0.0054
320; 105.8; 136; 0.0063
325; 107.9; 145; 0.0065
330; 108.6; 139; 0.0070
335; 108.7; 123; 0.0061
340; 110.8; 146; 0.0072
345; 110.8; 133; 0.0068
350; 112.8; 154; 0.0073
355; 111.2; 171; 0.0083
360; 112.8; 125; 0.0065
365; 111.7; 164; 0.0081
370; 112.6; 138; 0.0063
375; 111.1; 141; 0.0068
380; 110.1; 131; 0.0063
385; 111.0; 126; 0.0059
390; 109.2; 126; 0.0060
395; 109.1; 122; 0.0057
400; 109.5; 131; 0.0060
405; 107.1; 110; 0.0052
410; 107.2; 123; 0.0057
415; 103.6; 107; 0.0048
420; 100.9; 110; 0.0046
425; 99.2; 107; 0.0041
430; 96.3; 109; 0.0044
435; 91.5; 108; 0.0044
440; 89.9; 89; 0.0035
445; 88.3; 66; 0.0024
450; 83.8; 77; 0.0026
455; 78.9; 22; 0.0009
460; 76.7; 46; 0.0015
465; 73.9; 92; 0.0021
470; 71.3; 45; 0.0013
475; 67.6; 21; 0.0007
480; 66.8; 27; 0.0007
485; 63.7; 21; 0.0007
490; 62.2; 27; 0.0007
495; 60.7; 29; 0.0006
500; 55.9; 12; 0.0003
505; 54.0; 0; 0.0000
510; 51.8; 12; 0.0002
515; 49.2; 39; 0.0008
520; 46.9; 0; 0.0000
525; 45.8; 12; 0.0002
530; 43.5; 0; 0.0000
535; 41.2; 0; 0.0000
540; 38.8; 0; 0.0000
545; 36.1; 5; 0.0001
550; 34.2; 0; 0.0000
555; 32.7; 0; 0.0000
560; 30.9; 10; 0.0001
565; 29.2; 0; 0.0000
570; 27.6; 0; 0.0000
575; 26.5; 31; 0.0004
580; 25.4; 0; 0.0000
585; 24.5; 0; 0.0000
590; 23.3; 0; 0.0000
595; 22.2; 0; 0.0000
600; 21.7; 0; 0.0000
605; 20.7; 44; 0.0003
610; 18.7; 8; 0.0001
615; 16.4; 0; 0.0000
620; 15.9; 0; 0.0000
625; 13.5; 0; 0.0000
630; 12.0; 0; 0.0000
635; 9.0; 24; 0.0002
640; 5.9; 165; 0.0006
