Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Wool ; Interliner: Kevlar;Polyether Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 14:44:10
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;266;47;;;23;19.910;0.394;1.59;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 3.4; 0; 0.0000
5; 0.0; 0; 0.0000
10; 0.0; 10; 0.0003
15; 78.3; 107; 0.0018
20; 237.5; 14; 0.0014
25; 265.6; 60; 0.0101
30; 263.7; 236; 0.0338
35; 231.9; 306; 0.0394
40; 179.7; 292; 0.0300
45; 148.5; 267; 0.0207
50; 129.3; 226; 0.0159
55; 116.4; 195; 0.0130
60; 105.8; 149; 0.0092
65; 97.6; 85; 0.0050
70; 89.9; 39; 0.0022
75; 84.4; 31; 0.0017
80; 79.6; 13; 0.0007
85; 75.2; 6; 0.0003
90; 71.6; 7; 0.0003
95; 70.4; 0; 0.0000
100; 70.1; 7; 0.0003
105; 69.2; 4; 0.0002
110; 69.3; 1; 0.0000
115; 72.5; 0; 0.0000
120; 76.8; 2; 0.0001
125; 78.6; 0; 0.0000
130; 79.7; 8; 0.0004
135; 81.0; 13; 0.0006
140; 81.8; 4; 0.0002
145; 81.6; 7; 0.0003
150; 82.6; 2; 0.0001
155; 85.2; 15; 0.0008
160; 88.4; 23; 0.0010
165; 93.1; 0; 0.0000
170; 98.8; 11; 0.0006
175; 102.9; 33; 0.0018
180; 106.2; 47; 0.0025
185; 109.7; 69; 0.0039
190; 112.3; 63; 0.0035
195; 114.5; 67; 0.0038
200; 118.0; 82; 0.0046
205; 120.8; 98; 0.0054
210; 125.2; 93; 0.0055
215; 128.6; 93; 0.0057
220; 132.1; 93; 0.0054
225; 133.2; 81; 0.0046
230; 135.9; 77; 0.0047
235; 137.3; 83; 0.0051
240; 138.8; 77; 0.0045
245; 142.1; 80; 0.0048
250; 145.0; 70; 0.0043
255; 149.2; 73; 0.0045
260; 150.0; 71; 0.0044
265; 150.6; 66; 0.0043
270; 150.9; 74; 0.0046
275; 152.6; 74; 0.0045
280; 151.2; 61; 0.0039
285; 149.3; 58; 0.0036
290; 148.0; 50; 0.0029
295; 147.2; 67; 0.0040
300; 147.7; 51; 0.0032
305; 145.9; 57; 0.0036
310; 145.0; 45; 0.0025
315; 143.4; 62; 0.0032
320; 141.7; 36; 0.0021
325; 138.5; 43; 0.0024
330; 132.9; 30; 0.0017
335; 127.8; 20; 0.0011
340; 118.0; 23; 0.0010
345; 108.8; 0; 0.0000
350; 98.9; 0; 0.0000
355; 90.5; 0; 0.0000
360; 83.6; 0; 0.0000
365; 79.0; 0; 0.0000
370; 73.7; 0; 0.0000
375; 68.6; 0; 0.0000
380; 63.6; 0; 0.0000
385; 58.8; 0; 0.0000
390; 54.1; 0; 0.0000
395; 49.4; 0; 0.0000
400; 44.7; 0; 0.0000
405; 40.5; 0; 0.0000
410; 36.2; 0; 0.0000
415; 31.8; 0; 0.0000
420; 27.7; 0; 0.0000
425; 23.9; 0; 0.0000
430; 20.7; 0; 0.0000
435; 17.4; 0; 0.0000
440; 14.2; 0; 0.0000
445; 11.9; 0; 0.0000
450; 10.0; 0; 0.0000
455; 8.7; 0; 0.0000
460; 7.8; 0; 0.0000
465; 7.2; 0; 0.0000
470; 7.2; 0; 0.0000
475; 8.0; 0; 0.0000
480; 7.9; 0; 0.0000
485; 8.4; 0; 0.0000
490; 8.5; 0; 0.0000
495; 8.6; 0; 0.0000
500; 9.1; 0; 0.0000
505; 9.2; 0; 0.0000
510; 8.1; 0; 0.0000
515; 5.4; 0; 0.0000
520; 3.7; 0; 0.0000
525; 2.9; 0; 0.0000
530; 2.5; 0; 0.0000
535; 1.9; 0; 0.0000
540; 1.6; 0; 0.0000
545; 1.6; 0; 0.0000
550; 1.4; 0; 0.0000
555; 0.8; 0; 0.0000
560; 0.9; 0; 0.0000
565; 0.8; 0; 0.0000
570; 0.6; 0; 0.0000
575; 0.6; 0; 0.0000
580; 0.3; 0; 0.0000
585; 0.3; 0; 0.0000
590; 0.4; 0; 0.0000
595; 0.1; 0; 0.0000
600; 0.6; 0; 0.0000
605; 0.1; 0; 0.0000
610; 0.3; 0; 0.0000
615; 0.4; 0; 0.0000
620; 0.7; 0; 0.0000
625; 0.7; 0; 0.0000
630; 0.4; 0; 0.0000
635; 0.2; 0; 0.0000
640; 0.7; 0; 0.0000
645; 0.5; 0; 0.0000
650; 0.5; 0; 0.0000
655; 0.4; 0; 0.0000
660; 0.1; 0; 0.0000
665; 0.3; 0; 0.0000
670; 0.3; 0; 0.0000
675; 0.1; 0; 0.0000
680; 0.0; 0; 0.0000
685; 0.2; 0; 0.0000
690; 0.3; 0; 0.0000
