Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Wool;HR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 14:48:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;406;61;;;29;20.540;0.0536;7.349;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 3.5; 0; 0.0000
5; 1.5; 0; 0.0000
10; 0.4; 31; 0.0011
15; 82.9; 148; 0.0035
20; 239.5; 3; 0.0004
25; 240.6; 135; 0.0228
30; 215.0; 298; 0.0410
35; 200.1; 304; 0.0406
40; 202.0; 293; 0.0406
45; 208.2; 269; 0.0385
50; 225.1; 209; 0.0329
55; 231.2; 178; 0.0308
60; 218.9; 166; 0.0268
65; 211.6; 126; 0.0191
70; 231.6; 101; 0.0153
75; 250.9; 132; 0.0217
80; 264.2; 166; 0.0281
85; 265.8; 213; 0.0317
90; 272.1; 242; 0.0349
95; 271.6; 254; 0.0374
100; 285.5; 276; 0.0407
105; 286.0; 327; 0.0470
110; 280.7; 337; 0.0467
115; 291.2; 369; 0.0491
120; 307.6; 378; 0.0518
125; 324.3; 331; 0.0499
130; 350.1; 353; 0.0536
135; 366.6; 347; 0.0522
140; 388.1; 282; 0.0456
145; 399.3; 247; 0.0407
150; 406.2; 264; 0.0449
155; 404.6; 250; 0.0408
160; 399.9; 223; 0.0348
165; 383.7; 238; 0.0374
170; 373.0; 256; 0.0364
175; 357.3; 248; 0.0343
180; 354.7; 236; 0.0346
185; 350.6; 266; 0.0372
190; 334.9; 314; 0.0414
195; 316.7; 315; 0.0378
200; 301.5; 324; 0.0375
205; 276.5; 335; 0.0377
210; 235.1; 302; 0.0276
215; 177.2; 313; 0.0214
220; 124.9; 306; 0.0129
225; 84.1; 154; 0.0032
230; 53.2; 662; 0.0011
235; 31.5; 0; 0.0000
240; 16.6; 0; 0.0000
245; 9.0; 0; 0.0000
250; 5.6; 0; 0.0000
255; 2.7; 0; 0.0000
260; 1.0; 0; 0.0000
265; 0.1; 0; 0.0000
270; 0.0; 0; 0.0000
275; 0.0; 0; 0.0000
280; 0.0; 0; 0.0000
285; 0.0; 0; 0.0000
290; 0.0; 0; 0.0000
295; 0.0; 0; 0.0000
300; 0.0; 0; 0.0000
305; 0.0; 0; 0.0000
310; 0.0; 0; 0.0000
315; 0.0; 0; 0.0000
320; 0.0; 0; 0.0000
325; 0.0; 0; 0.0000
330; 0.0; 0; 0.0000
335; 0.0; 0; 0.0000
340; 0.0; 0; 0.0000
345; 0.0; 0; 0.0000
350; 0.0; 0; 0.0000
355; 0.0; 0; 0.0000
360; 0.0; 0; 0.0000
365; 0.0; 0; 0.0006
370; 0.0; 0; 0.0003
375; 0.0; 65; 0.0003
380; 0.0; 0; 0.0004
385; 0.0; 0; 0.0006
390; 0.0; 0; 0.0000
395; 0.0; 0; 0.0000
400; 0.0; 41; 0.0001
405; 0.0; 0; 0.0001
410; 0.0; 0; 0.0000
415; 0.0; 0; 0.0002
420; 0.0; 102; 0.0003
425; 0.0; 0; 0.0002
430; 0.0; 166; 0.0004
435; 0.0; 55; 0.0004
440; 0.0; 0; 0.0004
445; 0.0; 0; 0.0000
