Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Wool;Polyether Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 14:49:40
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;383;53;;;23.9;21.710;0.0485;5.09;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 4.5; 0; 0.0001
5; 1.9; 4; 0.0001
10; 3.1; 33; 0.0010
15; 114.0; 113; 0.0020
20; 276.9; 3; 0.0004
25; 284.6; 106; 0.0190
30; 255.2; 281; 0.0374
35; 240.0; 306; 0.0417
40; 255.7; 325; 0.0460
45; 273.0; 312; 0.0485
50; 271.7; 260; 0.0435
55; 247.9; 237; 0.0357
60; 258.4; 177; 0.0261
65; 257.2; 153; 0.0261
70; 243.7; 130; 0.0201
75; 226.4; 120; 0.0152
80; 233.0; 129; 0.0165
85; 234.1; 161; 0.0204
90; 232.4; 206; 0.0243
95; 241.9; 241; 0.0295
100; 252.5; 246; 0.0295
105; 266.8; 276; 0.0312
110; 278.9; 269; 0.0330
115; 296.6; 251; 0.0332
120; 321.6; 268; 0.0349
125; 345.4; 237; 0.0317
130; 361.3; 202; 0.0284
135; 376.0; 181; 0.0273
140; 382.9; 178; 0.0273
145; 379.5; 176; 0.0256
150; 374.6; 178; 0.0248
155; 366.7; 171; 0.0247
160; 351.7; 190; 0.0271
165; 326.3; 229; 0.0288
170; 310.8; 252; 0.0294
175; 296.7; 243; 0.0268
180; 286.0; 296; 0.0325
185; 242.9; 255; 0.0252
190; 195.9; 319; 0.0232
195; 144.1; 241; 0.0131
200; 101.8; 139; 0.0048
205; 67.6; 140; 0.0019
210; 40.7; 0; 0.0000
215; 22.1; 0; 0.0000
220; 11.2; 0; 0.0000
225; 6.0; 0; 0.0000
230; 3.7; 0; 0.0000
235; 2.3; 0; 0.0000
240; 2.0; 0; 0.0000
245; 1.5; 0; 0.0000
250; 1.3; 0; 0.0000
255; 1.0; 0; 0.0000
260; 1.0; 0; 0.0000
265; 1.2; 0; 0.0000
270; 1.3; 0; 0.0000
275; 1.2; 0; 0.0000
280; 1.2; 0; 0.0000
285; 1.8; 0; 0.0000
290; 1.7; 0; 0.0000
295; 1.9; 0; 0.0000
300; 1.7; 0; 0.0000
305; 2.5; 0; 0.0000
310; 2.9; 0; 0.0000
315; 2.6; 0; 0.0000
320; 2.2; 0; 0.0000
325; 2.6; 0; 0.0000
330; 3.1; 0; 0.0000
335; 3.4; 0; 0.0000
340; 3.3; 0; 0.0000
345; 3.5; 0; 0.0000
350; 3.5; 0; 0.0000
355; 3.2; 0; 0.0000
360; 3.1; 0; 0.0000
365; 3.5; 0; 0.0000
370; 3.4; 0; 0.0000
375; 3.6; 0; 0.0000
380; 4.0; 0; 0.0000
385; 4.0; 0; 0.0000
390; 4.1; 0; 0.0000
