Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: Leather ; Interliner: Polyester Wadding/Kevlar;CMHR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 14:51:14
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;320;65;;;33.9;17.510;0.0375;2.9775;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 4.4; 0; 0.0005
5; 0.1; 97; 0.0005
10; 0.0; 246; 0.0018
15; 0.0; 232; 0.0030
20; 0.0; 238; 0.0038
25; 0.0; 214; 0.0036
30; 0.0; 224; 0.0047
35; 0.0; 161; 0.0045
40; 0.0; 168; 0.0053
45; 0.0; 222; 0.0073
50; 0.0; 382; 0.0144
55; 8.0; 371; 0.0303
60; 109.5; 0; 0.0375
65; 199.2; 322; 0.0208
70; 259.0; 51; 0.0205
75; 291.3; 148; 0.0177
80; 306.0; 89; 0.0140
85; 313.5; 86; 0.0142
90; 319.3; 91; 0.0155
95; 319.9; 99; 0.0155
100; 309.7; 125; 0.0190
105; 293.2; 125; 0.0194
110; 270.9; 146; 0.0214
115; 251.5; 164; 0.0222
120; 235.2; 157; 0.0190
125; 218.2; 186; 0.0213
130; 200.9; 187; 0.0217
135; 186.2; 183; 0.0187
140; 172.3; 193; 0.0179
145; 162.3; 188; 0.0172
150; 153.9; 195; 0.0163
155; 143.9; 183; 0.0144
160; 136.0; 165; 0.0129
165; 130.8; 162; 0.0116
170; 126.2; 164; 0.0116
175; 121.8; 162; 0.0117
180; 118.0; 183; 0.0124
185; 113.1; 170; 0.0115
190; 108.4; 116; 0.0082
195; 103.8; 87; 0.0062
200; 99.9; 63; 0.0043
205; 95.8; 56; 0.0037
210; 91.8; 55; 0.0033
215; 88.1; 48; 0.0027
220; 83.2; 46; 0.0025
225; 80.6; 17; 0.0009
230; 74.4; 26; 0.0013
235; 69.9; 9; 0.0004
240; 67.0; 16; 0.0007
245; 64.2; 28; 0.0012
250; 60.5; 5; 0.0002
255; 56.5; 6; 0.0002
260; 53.3; 9; 0.0003
265; 49.8; 0; 0.0000
270; 46.4; 0; 0.0000
275; 44.3; 0; 0.0000
280; 44.0; 0; 0.0000
285; 42.4; 0; 0.0000
290; 41.0; 0; 0.0000
295; 40.4; 0; 0.0000
300; 39.9; 0; 0.0000
305; 39.9; 0; 0.0000
310; 39.6; 0; 0.0000
315; 37.8; 0; 0.0000
320; 36.6; 0; 0.0000
325; 36.9; 0; 0.0000
330; 36.2; 0; 0.0000
335; 36.1; 0; 0.0000
340; 37.5; 0; 0.0000
345; 38.4; 0; 0.0000
350; 37.7; 0; 0.0000
355; 38.5; 0; 0.0000
360; 38.5; 0; 0.0000
365; 39.0; 0; 0.0000
370; 40.3; 0; 0.0000
375; 40.6; 0; 0.0000
380; 43.0; 9; 0.0002
385; 44.6; 0; 0.0000
390; 47.8; 0; 0.0000
395; 48.9; 0; 0.0000
400; 51.9; 0; 0.0000
405; 55.5; 4; 0.0001
410; 59.5; 20; 0.0006
415; 63.4; 12; 0.0004
420; 67.9; 12; 0.0004
425; 69.7; 18; 0.0006
430; 71.5; 28; 0.0010
435; 73.5; 25; 0.0009
440; 74.8; 26; 0.0010
445; 76.7; 0; 0.0000
450; 76.6; 22; 0.0008
455; 78.1; 24; 0.0008
460; 78.9; 20; 0.0007
465; 79.5; 34; 0.0013
470; 80.0; 21; 0.0007
475; 80.0; 41; 0.0015
480; 80.2; 9; 0.0003
