Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: Leather ; Interliner: Kevlar;HR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 14:52:28
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;344;71;;;33.5;20.5;0.0517;3.288;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 4.7; 0; 0.0001
5; 1.6; 11; 0.0001
10; 0.0; 160; 0.0016
15; 0.0; 281; 0.0034
20; 0.0; 249; 0.0038
25; 0.0; 234; 0.0040
30; 0.0; 248; 0.0047
35; 0.0; 206; 0.0050
40; 0.0; 198; 0.0058
45; 0.0; 567; 0.0183
50; 0.0; 708; 0.0280
55; 0.0; 925; 0.0410
60; 70.6; 1438; 0.0517
65; 193.3; 532; 0.0298
70; 242.6; 194; 0.0202
75; 282.5; 122; 0.0171
80; 313.9; 100; 0.0163
85; 329.7; 112; 0.0181
90; 342.0; 118; 0.0192
95; 343.9; 101; 0.0180
100; 334.0; 121; 0.0207
105; 311.1; 126; 0.0198
110; 286.3; 130; 0.0193
115; 268.0; 138; 0.0193
120; 254.6; 136; 0.0172
125; 238.0; 137; 0.0173
130; 222.1; 130; 0.0155
135; 211.9; 152; 0.0155
140; 202.7; 163; 0.0163
145; 196.4; 154; 0.0160
150; 191.8; 134; 0.0127
155; 185.6; 143; 0.0129
160; 177.4; 142; 0.0132
165; 165.9; 123; 0.0108
170; 154.8; 121; 0.0101
175; 139.4; 105; 0.0080
180; 126.4; 96; 0.0068
185; 115.7; 81; 0.0052
190; 107.8; 33; 0.0020
195; 101.1; 24; 0.0015
200; 96.1; 15; 0.0008
205; 92.3; 6; 0.0003
210; 89.1; 2; 0.0001
215; 89.2; 17; 0.0009
220; 90.8; 2; 0.0001
225; 82.5; 1; 0.0001
230; 72.8; 0; 0.0000
235; 66.1; 0; 0.0000
240; 61.5; 0; 0.0000
245; 58.3; 0; 0.0000
250; 56.9; 0; 0.0000
255; 55.8; 0; 0.0000
260; 55.2; 0; 0.0000
265; 53.3; 0; 0.0000
270; 52.0; 0; 0.0000
275; 51.0; 0; 0.0000
280; 50.3; 9; 0.0002
285; 48.9; 0; 0.0000
290; 47.4; 0; 0.0000
295; 46.7; 0; 0.0000
300; 45.0; 0; 0.0000
305; 43.8; 0; 0.0000
310; 42.6; 0; 0.0000
315; 41.2; 21; 0.0004
320; 40.8; 13; 0.0003
325; 40.4; 0; 0.0000
330; 40.8; 29; 0.0006
335; 39.6; 3; 0.0000
340; 39.1; 14; 0.0003
345; 38.3; 21; 0.0004
350; 37.8; 34; 0.0006
355; 37.9; 21; 0.0004
360; 37.8; 32; 0.0007
365; 38.5; 0; 0.0000
370; 38.4; 0; 0.0000
375; 38.3; 18; 0.0004
380; 38.5; 14; 0.0003
385; 39.3; 9; 0.0002
390; 39.4; 0; 0.0000
395; 39.8; 22; 0.0004
400; 41.0; 3; 0.0001
405; 41.9; 28; 0.0006
410; 42.8; 44; 0.0009
415; 43.5; 20; 0.0004
420; 45.4; 39; 0.0009
425; 46.3; 29; 0.0006
430; 47.3; 5; 0.0001
435; 48.6; 40; 0.0009
440; 49.8; 79; 0.0018
445; 52.0; 48; 0.0012
450; 54.5; 49; 0.0013
455; 56.2; 83; 0.0021
460; 58.7; 54; 0.0013
465; 60.0; 79; 0.0020
470; 60.8; 72; 0.0019
475; 62.7; 55; 0.0016
480; 63.7; 89; 0.0024
485; 64.8; 76; 0.0021
490; 66.0; 55; 0.0017
495; 66.9; 76; 0.0026
500; 68.5; 70; 0.0021
505; 69.3; 122; 0.0031
510; 69.7; 80; 0.0023
515; 70.8; 94; 0.0028
520; 70.7; 105; 0.0033
525; 71.8; 77; 0.0023
530; 72.2; 88; 0.0025
535; 71.8; 74; 0.0024
540; 72.1; 83; 0.0026
545; 72.5; 78; 0.0022
550; 72.2; 93; 0.0027
555; 72.4; 76; 0.0023
560; 71.6; 74; 0.0023
565; 69.9; 72; 0.0022
570; 68.9; 88; 0.0024
575; 68.0; 64; 0.0016
580; 66.8; 54; 0.0017
585; 65.3; 70; 0.0019
590; 64.0; 53; 0.0013
595; 62.7; 56; 0.0015
600; 60.8; 64; 0.0015
605; 59.6; 41; 0.0010
610; 58.1; 48; 0.0011
615; 56.3; 33; 0.0008
620; 54.5; 13; 0.0003
625; 53.2; 50; 0.0011
630; 52.6; 40; 0.0009
635; 50.7; 38; 0.0008
640; 49.5; 5; 0.0001
645; 49.0; 45; 0.0009
650; 48.3; 7; 0.0001
655; 47.8; 16; 0.0003
660; 47.3; 15; 0.0003
665; 46.7; 27; 0.0005
670; 46.1; 18; 0.0004
675; 45.0; 0; 0.0000
680; 43.8; 0; 0.0000
685; 43.3; 11; 0.0003
690; 43.3; 15; 0.0003
695; 43.1; 0; 0.0000
700; 42.3; 6; 0.0001
705; 41.5; 4; 0.0000
710; 40.7; 0; 0.0000
715; 40.2; 5; 0.0001
720; 39.1; 0; 0.0000
725; 38.3; 0; 0.0000
730; 37.9; 57; 0.0009
735; 37.2; 25; 0.0003
740; 36.4; 26; 0.0005
745; 35.4; 0; 0.0000
750; 35.5; 0; 0.0000
755; 35.0; 21; 0.0003
760; 34.5; 0; 0.0000
765; 33.7; 0; 0.0000
770; 33.5; 0; 0.0000
775; 33.3; 0; 0.0000
780; 32.8; 0; 0.0000
785; 32.0; 0; 0.0000
790; 31.6; 0; 0.0000
795; 31.0; 0; 0.0000
800; 30.8; 0; 0.0000
805; 30.2; 0; 0.0000
810; 29.0; 0; 0.0000
815; 28.9; 0; 0.0000
820; 28.2; 0; 0.0000
825; 28.0; 0; 0.0000
830; 27.5; 0; 0.0000
835; 27.4; 0; 0.0000
840; 27.3; 0; 0.0000
845; 26.5; 0; 0.0000
850; 26.6; 0; 0.0000
855; 26.4; 0; 0.0000
860; 25.8; 0; 0.0000
865; 25.1; 0; 0.0000
870; 25.0; 0; 0.0000
875; 24.7; 0; 0.0000
880; 24.0; 0; 0.0000
885; 23.4; 0; 0.0000
890; 23.8; 0; 0.0000
