Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: Leather ; Interliner: Polyester Wadding;CMHR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 14:55:08
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;325;69;;;33.2;20.480;0.385;6.9935;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 3.2; 0; 0.0006
5; 1.4; 70; 0.0006
10; 0.0; 145; 0.0017
15; 0.0; 156; 0.0024
20; 0.0; 159; 0.0033
25; 0.0; 167; 0.0042
30; 0.0; 123; 0.0042
35; 0.0; 116; 0.0043
40; 0.0; 201; 0.0078
45; 62.8; 1679; 0.0117
50; 144.5; 86; 0.0047
55; 183.5; 51; 0.0067
60; 206.1; 55; 0.0069
65; 241.7; 63; 0.0083
70; 277.1; 104; 0.0149
75; 303.0; 126; 0.0199
80; 312.9; 145; 0.0248
85; 318.2; 150; 0.0247
90; 324.9; 145; 0.0241
95; 321.1; 138; 0.0240
100; 316.4; 140; 0.0236
105; 307.1; 156; 0.0249
110; 289.6; 154; 0.0237
115; 275.3; 160; 0.0243
120; 261.3; 153; 0.0224
125; 246.8; 180; 0.0244
130; 236.1; 206; 0.0261
135; 224.6; 189; 0.0238
140; 204.1; 193; 0.0232
145; 186.8; 218; 0.0227
150; 168.5; 233; 0.0221
155; 157.9; 244; 0.0218
160; 154.3; 264; 0.0215
165; 153.0; 224; 0.0192
170; 150.6; 251; 0.0209
175; 156.5; 263; 0.0191
180; 177.0; 275; 0.0259
185; 186.5; 346; 0.0371
190; 198.7; 353; 0.0364
195; 220.7; 342; 0.0378
200; 231.6; 327; 0.0385
205; 241.6; 319; 0.0370
210; 252.6; 319; 0.0359
215; 271.0; 280; 0.0328
220; 283.2; 251; 0.0316
225; 289.3; 221; 0.0282
230; 296.7; 243; 0.0300
235; 302.7; 226; 0.0276
240; 300.9; 237; 0.0298
245; 292.0; 237; 0.0298
250; 280.9; 276; 0.0329
255; 279.0; 263; 0.0304
260; 257.5; 341; 0.0368
265; 248.8; 317; 0.0331
270; 234.8; 350; 0.0357
275; 216.1; 404; 0.0361
280; 201.6; 398; 0.0341
285; 186.9; 389; 0.0293
290; 180.0; 365; 0.0261
295; 164.5; 267; 0.0199
300; 149.7; 208; 0.0132
305; 142.9; 241; 0.0133
310; 130.6; 207; 0.0118
315; 116.0; 159; 0.0080
320; 104.3; 144; 0.0066
325; 92.3; 115; 0.0044
330; 79.6; 122; 0.0032
335; 70.3; 69; 0.0016
340; 56.5; 15; 0.0003
345; 42.3; 0; 0.0000
350; 32.1; 0; 0.0000
355; 26.5; 0; 0.0000
360; 22.5; 0; 0.0000
365; 19.7; 0; 0.0000
370; 19.1; 0; 0.0000
375; 18.3; 0; 0.0000
380; 17.5; 0; 0.0000
385; 17.9; 0; 0.0000
390; 17.3; 0; 0.0000
395; 16.9; 0; 0.0000
400; 17.4; 0; 0.0000
405; 16.7; 0; 0.0000
410; 16.5; 0; 0.0000
415; 16.1; 0; 0.0000
420; 16.5; 0; 0.0000
425; 16.0; 0; 0.0000
430; 15.4; 0; 0.0000
435; 15.1; 0; 0.0000
440; 15.4; 0; 0.0000
445; 15.5; 0; 0.0000
450; 14.9; 0; 0.0000
455; 14.8; 0; 0.0000
460; 14.5; 0; 0.0000
465; 14.1; 0; 0.0000
470; 14.4; 0; 0.0000
475; 14.1; 0; 0.0000
480; 13.6; 0; 0.0000
485; 14.2; 0; 0.0000
490; 14.7; 0; 0.0000
495; 13.6; 0; 0.0000
500; 14.2; 0; 0.0000
505; 13.7; 0; 0.0000
510; 13.7; 0; 0.0000
515; 13.5; 0; 0.0000
520; 13.5; 0; 0.0000
525; 13.3; 0; 0.0000
530; 13.1; 0; 0.0000
535; 13.0; 0; 0.0000
540; 12.9; 0; 0.0000
545; 13.2; 0; 0.0000
550; 13.1; 0; 0.0000
555; 12.5; 0; 0.0000
560; 12.0; 0; 0.0000
565; 11.7; 0; 0.0000
570; 12.0; 0; 0.0000
575; 11.2; 0; 0.0000
580; 11.2; 0; 0.0000
585; 11.3; 0; 0.0000
590; 10.5; 0; 0.0000
595; 10.3; 0; 0.0000
600; 10.5; 0; 0.0000
605; 10.5; 0; 0.0000
610; 10.1; 0; 0.0000
615; 9.9; 0; 0.0000
620; 9.8; 0; 0.0000
625; 9.6; 0; 0.0000
630; 9.5; 0; 0.0000
635; 9.6; 0; 0.0000
640; 9.1; 0; 0.0000
645; 8.8; 0; 0.0000
650; 8.5; 0; 0.0000
655; 7.7; 0; 0.0000
660; 7.6; 0; 0.0000
665; 7.3; 0; 0.0000
670; 7.2; 0; 0.0000
675; 6.9; 0; 0.0000
680; 6.7; 0; 0.0000
685; 6.9; 0; 0.0000
690; 6.9; 0; 0.0000
