Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: Leather ;HR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 14:56:25
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;319;71;;;31.6;21.990;0.0418;7.679;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 3.2; 0; 0.0001
5; 4.5; 34; 0.0001
10; 1.5; 126; 0.0012
15; 0.0; 156; 0.0021
20; 0.0; 167; 0.0028
25; 0.0; 158; 0.0032
30; 0.0; 151; 0.0038
35; 0.0; 273; 0.0079
40; 0.0; 570; 0.0167
45; 0.0; 682; 0.0292
50; 33.1; 999; 0.0399
55; 205.3; 1497; 0.0418
60; 297.1; 163; 0.0193
65; 315.5; 158; 0.0266
70; 318.3; 164; 0.0248
75; 319.4; 118; 0.0195
80; 311.9; 113; 0.0178
85; 301.2; 134; 0.0214
90; 290.4; 123; 0.0200
95; 283.1; 140; 0.0206
100; 269.2; 143; 0.0204
105; 250.6; 144; 0.0209
110; 240.5; 153; 0.0205
115; 231.8; 154; 0.0196
120; 224.7; 150; 0.0190
125; 209.9; 131; 0.0166
130; 194.3; 142; 0.0163
135; 186.3; 130; 0.0140
140; 177.1; 144; 0.0157
145; 173.0; 167; 0.0164
150; 165.4; 188; 0.0174
155; 161.8; 164; 0.0145
160; 161.1; 222; 0.0176
165; 156.6; 258; 0.0207
170; 164.8; 263; 0.0217
175; 175.4; 311; 0.0220
180; 178.3; 357; 0.0279
185; 193.9; 302; 0.0275
190; 222.6; 370; 0.0332
195; 241.2; 361; 0.0371
200; 254.8; 342; 0.0381
205; 264.6; 325; 0.0345
210; 269.5; 322; 0.0341
215; 270.4; 324; 0.0363
220; 270.4; 296; 0.0340
225; 270.1; 305; 0.0332
230; 266.6; 342; 0.0365
235; 269.1; 329; 0.0350
240; 266.9; 322; 0.0344
245; 262.6; 288; 0.0313
250; 258.6; 294; 0.0324
255; 252.3; 296; 0.0303
260; 247.5; 325; 0.0308
265; 237.1; 315; 0.0317
270; 230.2; 351; 0.0326
275; 217.4; 390; 0.0333
280; 210.2; 301; 0.0258
285; 193.4; 319; 0.0273
290; 191.1; 334; 0.0247
295; 191.5; 413; 0.0282
300; 175.7; 372; 0.0267
305; 170.1; 326; 0.0211
310; 162.4; 280; 0.0179
315; 151.9; 252; 0.0155
320; 145.5; 243; 0.0143
325; 135.5; 255; 0.0119
330; 127.7; 207; 0.0107
335; 116.2; 170; 0.0101
340; 102.7; 199; 0.0078
345; 90.3; 166; 0.0053
350; 83.8; 86; 0.0026
355; 79.5; 125; 0.0029
360; 74.3; 104; 0.0026
365; 68.1; 65; 0.0019
370; 61.9; 71; 0.0017
375; 55.1; 27; 0.0005
380; 49.5; 1; 0.0000
385; 46.2; 0; 0.0000
390; 44.3; 0; 0.0000
395; 41.1; 0; 0.0000
400; 38.4; 0; 0.0000
405; 37.0; 0; 0.0000
410; 35.3; 0; 0.0000
415; 33.5; 0; 0.0000
420; 32.0; 0; 0.0000
425; 30.9; 0; 0.0000
430; 28.9; 0; 0.0000
435; 27.6; 0; 0.0000
440; 26.0; 0; 0.0000
445; 25.6; 0; 0.0000
450; 25.2; 0; 0.0000
455; 24.0; 0; 0.0000
460; 22.4; 0; 0.0000
465; 21.1; 0; 0.0000
470; 19.3; 0; 0.0000
475; 19.1; 0; 0.0000
480; 17.9; 0; 0.0000
485; 17.3; 0; 0.0000
490; 15.8; 0; 0.0000
495; 15.3; 0; 0.0000
500; 15.1; 0; 0.0000
505; 15.2; 0; 0.0000
510; 14.9; 0; 0.0000
515; 14.5; 0; 0.0000
520; 13.9; 0; 0.0000
525; 13.9; 0; 0.0000
530; 13.8; 0; 0.0000
535; 13.9; 0; 0.0000
540; 13.6; 0; 0.0000
545; 13.3; 0; 0.0000
550; 13.3; 0; 0.0000
555; 13.0; 0; 0.0000
560; 13.1; 0; 0.0000
565; 12.8; 0; 0.0000
570; 12.3; 0; 0.0000
575; 12.0; 0; 0.0000
580; 11.8; 0; 0.0000
585; 11.3; 0; 0.0000
