Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: Leather ;Polyether Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 14:57:30
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;396;66;;;29.3;22.220;0.0627;6.1125;;;;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.8; 0; 0.0000
5; 0.2; 0; 0.0000
10; 0.0; 82; 0.0011
15; 0.0; 146; 0.0024
20; 0.0; 136; 0.0024
25; 0.0; 161; 0.0033
30; 0.0; 171; 0.0037
35; 0.0; 225; 0.0050
40; 0.0; 357; 0.0117
45; 0.0; 555; 0.0227
50; 0.0; 829; 0.0371
55; 0.0; 1128; 0.0509
60; 73.3; 2011; 0.0627
65; 235.3; 500; 0.0336
70; 280.3; 137; 0.0176
75; 316.1; 112; 0.0170
80; 358.8; 130; 0.0226
85; 386.5; 150; 0.0277
90; 396.3; 137; 0.0259
95; 391.3; 160; 0.0308
100; 368.4; 156; 0.0291
105; 340.6; 175; 0.0297
110; 312.0; 166; 0.0253
115; 288.2; 167; 0.0238
120; 269.9; 195; 0.0265
125; 261.4; 221; 0.0298
130; 254.0; 250; 0.0321
135; 248.9; 255; 0.0313
140; 241.9; 259; 0.0324
145; 257.6; 223; 0.0302
150; 273.9; 237; 0.0338
155; 274.4; 247; 0.0328
160; 284.1; 233; 0.0300
165; 286.5; 238; 0.0322
170; 267.8; 258; 0.0315
175; 266.2; 265; 0.0305
180; 282.0; 233; 0.0282
185; 299.0; 219; 0.0275
190; 306.0; 189; 0.0241
195; 312.7; 173; 0.0205
200; 311.4; 155; 0.0194
205; 303.2; 147; 0.0183
210; 296.9; 172; 0.0197
215; 294.9; 163; 0.0185
220; 285.0; 183; 0.0206
225; 287.4; 181; 0.0204
230; 306.6; 185; 0.0219
235; 312.1; 221; 0.0240
240; 302.6; 228; 0.0255
245; 243.5; 173; 0.0202
250; 212.9; 156; 0.0136
255; 206.3; 159; 0.0116
260; 190.5; 168; 0.0116
265; 172.9; 95; 0.0068
270; 152.4; 70; 0.0043
275; 131.1; 21; 0.0010
280; 108.5; 0; 0.0000
285; 90.4; 0; 0.0000
290; 74.9; 0; 0.0000
295; 64.1; 0; 0.0000
300; 56.2; 0; 0.0000
305; 48.5; 0; 0.0000
310; 42.0; 0; 0.0000
315; 36.6; 0; 0.0000
320; 30.7; 0; 0.0000
325; 26.7; 0; 0.0000
330; 23.5; 0; 0.0000
335; 21.9; 0; 0.0000
340; 20.8; 0; 0.0000
345; 20.0; 0; 0.0000
350; 19.1; 0; 0.0000
355; 18.1; 0; 0.0000
360; 16.4; 0; 0.0000
365; 16.3; 0; 0.0000
370; 15.7; 0; 0.0000
375; 15.4; 0; 0.0000
380; 14.4; 0; 0.0000
385; 13.6; 0; 0.0000
390; 13.9; 0; 0.0000
395; 13.7; 0; 0.0000
400; 14.0; 0; 0.0000
405; 13.8; 0; 0.0000
410; 13.2; 0; 0.0000
415; 12.9; 0; 0.0000
420; 12.7; 0; 0.0000
425; 12.2; 0; 0.0000
430; 11.8; 0; 0.0000
435; 11.3; 666; 0.0054
440; 10.9; 0; 0.0000
445; 10.3; 0; 0.0000
450; 10.3; 0; 0.0000
455; 9.8; 0; 0.0000
460; 9.5; 0; 0.0000
465; 9.3; 0; 0.0000
470; 8.8; 25; 0.0001
475; 8.1; 0; 0.0000
480; 7.8; 0; 0.0000
485; 7.4; 3; 0.0000
490; 7.4; 60; 0.0001
495; 7.3; 0; 0.0000
500; 6.8; 0; 0.0000
505; 6.5; 0; 0.0000
510; 5.8; 0; 0.0000
515; 6.0; 0; 0.0000
520; 5.2; 0; 0.0000
525; 5.0; 0; 0.0000
530; 5.2; 0; 0.0000
535; 4.5; 0; 0.0000
540; 4.3; 0; 0.0000
545; 3.8; 0; 0.0000
550; 3.3; 0; 0.0000
555; 3.6; 0; 0.0000
560; 3.7; 0; 0.0000
565; 3.7; 10; 0.0000
570; 3.4; 0; 0.0000
575; 3.3; 0; 0.0000
