Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
FR particle board;;;;;;;ISO 5660;EUREFIC;Type B1, EUREFIC6;;1;2003-07-24 10:59:23
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
75;12;85;3.8;21;26;NA;2.2;NA;NA;108;0.01;16;628
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
0; 4.37478; -0.0591563; 0
5; 37.3467; 0.0103526; 0
10; 83.5032; 0.082844; 218.035
15; 85.3989; 0.130189; 62.2636
20; 83.9006; 0.136104; 35.8627
25; 79.4942; 0.122788; 44.9006
30; 61.7759; 0.125747; 46.4246
35; 39.9416; 0.116869; 114.053
40; 35.7621; 0.0946793; 223.105
45; 26.9932; 0.0976379; 257.118
50; 17.8646; 0.100596; 199.021
55; 13.4093; 0.0769313; 248.563
60; 8.85281; 0.0784063; 204.871
65; 8.85573; 0.091718; 139.93
70; 8.86162; 0.0813695; 128.923
75; 8.86087; 0.0591746; 151.105
80; 8.85284; 0.0591751; 142.567
85; 8.86488; 0.0828446; 100.474
90; 8.88801; 0.081365; 96.4184
95; 13.4758; 0.0680532; 110.395
100; 8.8696; 0.081365; 93.6049
105; 4.23146; 0.081365; 83.3655
110; 4.25558; 0.0695323; 94.7887
115; 8.8758; 0.0710119; 82.7149
120; 4.24078; 0.0695282; 87.9252
125; 8.81625; 0.0813655; 73.8118
130; 8.85197; 0.0798859; 71.6249
135; 8.88698; 0.0798859; 76.5674
140; 4.22984; 0.081365; 70.3442
145; 8.86621; 0.0680527; 78.5032
150; 8.86596; 0.081369; 63.5969
155; 4.24066; 0.081365; 67.1075
160; 4.2335; 0.0695282; 64.7586
165; 8.87983; 0.0695328; 60.4405
170; 8.89458; 0.081365; 48.0317
175; 8.89771; 0.0798854; 49.0628
180; 8.8472; 0.0798899; 45.445
