Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PUR rigid;Plastic faced steel sheet;;;;;;ISO 5660;EUREFIC;CDK09408_EUREFIC9;;1;2003-07-24 12:36:30
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;24;78;13.9;63;49;NA;10.5;NA;NA;672;0.01;79;170
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
0; 0.816712; -0.147934; 0
5; -4.04453; -0.0591736; 0
10; 0.802986; 0.00591736; 0
15; 10.4561; -0.00147908; 0
20; 63.2288; -2.03451e-006; 0
25; 77.7139; 0.0754461; 143.137
30; 56.0955; 0.116872; 521.265
35; 42.8625; 0.0798854; 545.147
40; 29.0634; 0.0503011; 541.396
45; 29.1047; 0.0429026; 481.955
50; 34.0144; 0.0458567; 319.947
55; 47.994; 0.0340286; 505.576
60; 52.3513; 0.0340286; 715.725
65; 61.612; 0.042898; 850.128
70; 70.5496; 0.065093; 661.155
75; 70.5487; 0.0606547; 839.42
80; 70.042; 0.0724869; 724.422
85; 74.7591; 0.0710119; 755.437
90; 74.8129; 0.0695323; 807.232
95; 70.024; 0.0843236; 608.369
100; 74.5714; 0.0591751; 796.927
105; 74.9107; 0.0606542; 814.788
110; 70.13; 0.0754496; 645.991
115; 74.642; 0.0503011; 984.659
120; 74.8135; 0.0517761; 951.676
125; 70.3094; 0.0636134; 769.08
130; 70.3181; 0.0621338; 742.576
135; 65.7252; 0.0636134; 736.004
140; 70.1629; 0.0517766; 841.807
145; 70.4398; 0.0532557; 808.42
150; 65.6793; 0.0517807; 781.185
155; 65.7746; 0.0650925; 617.479
160; 65.8621; 0.0517761; 783.865
165; 65.5285; 0.0517807; 751.84
170; 66.051; 0.0665716; 547.068
175; 65.8343; 0.0399434; 909.993
180; 56.5712; 0.0547394; 663.817
185; 56.3341; 0.0547348; 629.265
190; 56.6666; 0.0414235; 827.297
195; 51.9959; 0.0562144; 597.465
200; 52.0783; 0.0429026; 737.668
205; 52.0221; 0.0429026; 721.566
210; 52.1155; 0.0547348; 523.382
215; 52.1428; 0.056219; 484.441
220; 47.3688; 0.0310654; 805.646
225; 42.7095; 0.0458613; 540.471
230; 42.8246; 0.0458613; 481.462
235; 42.7524; 0.0355036; 567.016
240; 38.1743; 0.0251505; 764.871
245; 33.445; 0.0251505; 652.336
250; 28.8533; 0.0414215; 368.331
255; 24.2038; 0.00147705; 9445.8
