Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PUR rigid;Plastic faced steel sheet;;;;;;ISO 5660;EUREFIC;CDK09415_EUREFIC9;;1;2003-07-24 14:03:50
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
25;208;25;0.4;NA;NA;NA;NA;NA;NA;NA;0.01;79;170
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
0; 0.41171; -0.0710205; 0
5; 5.30524; 0.00443878; 0
10; 5.2718; 0.0118368; 0
15; 0.407358; -0.00147959; 0
20; 0.407411; 0.00147959; 0
25; 0.406951; -0.0118368; 143.137
30; 5.2546; 0; 521.265
35; 5.27815; 0.0118368; 545.147
40; 5.25759; -0.00295868; 856.272
45; 5.25092; 0.008874; 575.864
50; 5.2739; 0.0207108; 456.569
55; 5.28096; 0.00739899; 1133.58
60; 5.28096; 0.00591482; 488.238
65; 0.404855; 0.0295888; 631.647
70; 0.404822; 0.0281092; 629.88
75; 10.1256; 0.0177516; 419.488
80; 5.23832; 0.00739899; 310.825
85; 0.404428; 0.00739441; 342.074
90; 0.403783; 0.0192317; 396.741
95; 0.405062; 0.0177521; 522.94
100; 0.405062; 0.0192312; 611.289
105; 5.25507; 0.00739848; 506.133
110; 0.404735; 0.00887756; 506.16
115; 5.26922; 0.00887807; 491.859
120; 0.404932; 0.00443573; 444.379
125; 0.405401; 0.0429011; 1743.16
130; 5.25281; 0.0177521; 422.392
135; 0.405128; -0.00443827; 302.379
140; -4.44985; 0.0103577; 1093.1
145; 0.405499; 0.00739441; 560.032
150; 0.404998; 0.0207108; 384.123
155; 0.405804; 0.00887807; 860.406
160; 5.2647; -0.00443827; 344.359
165; 5.24416; 0.0207108; 336.578
170; 0.405281; 0.0207108; 753.695
175; 0.406827; -0.00443827; 413.922
180; 5.24587; 0.0103572; 692.166
185; 5.23735; 0.00887807; 314.626
190; 5.24998; 0.008874; 377.037
195; 5.24899; 0.008874; 8602.6
200; 10.0854; 0.00887807; 533.28
205; 19.7692; 0.00887807; 272.81
210; 24.5003; 0.00591482; 2070.96
