Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Plywood;;;;;;;ISO 5660;EUREFIC;CS000001_EUREFIC2;;1;2003-07-24 14:53:40
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
25;143;263;72.5;146;132;61.6;11.8;NA;NA;44;0.01;12;600
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
1.26; 0.0129; 0.0098; 57.8165
3.24; -0.0604; 0.0081; 54.3075
5.238; -1.3474; 0.0126; 43.6433
7.818; -0.6578; 0.0111; 39.9159
9.822; -0.0759; 0.0169; 33.0694
11.82; -0.6116; 0.0163; 30.2487
14.178; 0.0804; 0.0199; 26.6824
16.2; 0.1739; 0.0195; 25.9296
20.34; -0.172; 0.0205; 26.7992
22.362; 0.0169; 0.02; 28.391
24.342; 2.1254; 0.018; 31.3065
27.378; 5.0877; 0.0171; 30.7796
29.88; 5.908; 0.0153; 36.8186
31.878; 4.2128; 0.0176; 37.1279
34.278; 1.8972; 0.0102; 39.493
36.258; 1.716; 0.0152; 37.5082
38.262; 1.8455; 0.0121; 40.156
41.082; 0.5177; 0.0175; 34.8444
43.08; 1.5056; 0.0125; 35.6747
45.078; 0.6365; 0.0199; 35.4317
47.082; -0.8269; 0.0154; 37.5282
49.08; -0.3383; 0.0168; 36.3094
51.6; -0.8704; 0.0162; 40.9772
53.58; -0.642; 0.0222; 41.1372
55.542; -0.8061; 0.0164; 40.3111
57.6; -1.1813; 0.0204; 41.8018
59.58; -0.6096; 0.0244; 47.2573
62.418; -1.0166; 0.0205; 49.6283
64.458; -0.4625; 0.0172; 53.3929
66.462; -0.2304; 0.0208; 64.5786
68.46; -0.9602; 0.0214; 72.1889
70.458; -0.9377; 0.0164; 78.4905
72.978; -0.8465; 0.0191; 84.2266
74.982; -0.6132; 0.0204; 94.6107
76.98; -0.5907; 0.0217; 96.8362
78.978; -0.8243; 0.0211; 107.292
81; -1.0936; 0.0247; 113.495
83.58; -0.9509; 0.0229; 122.256
85.92; -0.4807; 0.0239; 129.36
87.918; -0.9666; 0.0211; 141.958
89.922; -1.318; 0.0232; 142.03
91.902; -0.5902; 0.0228; 142.152
94.44; -0.1351; 0.0256; 143.351
96.42; -0.1279; 0.0288; 142.635
98.4; -0.3346; 0.0306; 142.54
100.398; -0.7337; 0.0329; 146.251
102.378; -0.7971; 0.0322; 157.585
104.94; -0.981; 0.0364; 162.298
106.92; -0.8997; 0.0317; 172.486
109.182; -0.467; 0.0354; 175.5
111.36; -1.2015; 0.033; 184.253
113.358; -1.5225; 0.0342; 186.326
115.86; -1.0863; 0.0337; 190.981
117.882; -0.9541; 0.0379; 193.79
119.862; -0.6245; 0.0367; 195.016
121.842; -0.1317; 0.0359; 199.733
123.822; -0.613; 0.0407; 202.568
126.36; -0.2057; 0.0361; 209.081
128.34; -0.4073; 0.0374; 208.035
130.698; -0.3401; 0.0379; 217.73
132.678; 0.6968; 0.0433; 209.863
134.682; 0.8515; 0.0402; 195.554
137.178; 1.1277; 0.0493; 173.803
139.182; 11.1101; 0.071; 141.252
141.18; 67.0137; 0.0892; 100.178
143.178; 116.867; 0.1137; 69.6398
145.158; 148.238; 0.1438; 50.1809
147.702; 172.497; 0.1703; 36.1909
149.682; 196.866; 0.1894; 36.5705
151.68; 212.326; 0.1975; 39.2076
154.02; 218.058; 0.2076; 41.9281
156.06; 228.898; 0.2172; 44.3345
158.562; 235.571; 0.2257; 45.8447
160.542; 241.979; 0.2354; 47.2808
162.54; 262.522; 0.2374; 46.5608
164.562; 257.794; 0.2365; 44.8151
166.56; 253.645; 0.2292; 41.9977
169.02; 241.811; 0.2211; 37.6629
171; 232.518; 0.2091; 33.6772
172.998; 223.34; 0.2019; 31.6268
175.002; 217.514; 0.1929; 30.2177
177.282; 207.478; 0.1864; 29.8257
179.82; 197.915; 0.1787; 29.5129
181.842; 186.617; 0.1654; 28.4962
183.822; 173.723; 0.1612; 27.8464
185.82; 166.002; 0.1549; 27.0795
187.782; 163.068; 0.151; 26.0903
190.302; 158.891; 0.1479; 26.0928
192.318; 155.295; 0.1464; 26.0406
194.322; 151.81; 0.1451; 25.4628
196.278; 149.776; 0.1436; 25.4203
198.642; 149.598; 0.1422; 24.793
